genero,municipio_de_nacimiento,pais,municipio_direccion,barrio_direccion,estrato,estado_civil,eps,zona,nivel_de_formacion,ocupacion,medio_de_transporte,estado,fecha_de_matricula,jornada,programa,periodo,nivel,edad,periodo_era_mt,anio_periodo,semestre_periodo,estrato_imputado,transporte_imputado,anio_matricula,mes_matricula,desercion
Masculino,Sucre (Guama),Colombia,Envigado,Barrio Obrero,3,,,,,,Transporte público,Inactivo,2015-02-03 10:00:00,DIURNA,TÉCNICO LABORAL EN DISEÑO GRAFICO,2015-2,SEMESTRE 2,24,0,2015,2,1,1,2015.0,2.0,1.0
Masculino,Medellín,Colombia,Envigado,Las Orquídeas,3,Soltero(a),Coomeva EPS,Urbana,Media,Estudiante superior,Transporte público,Graduado,2015-06-04 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2016-1,SEMESTRE 2,27,0,2016,1,0,1,2015.0,6.0,0.0
Masculino,,Colombia,Envigado,Las Margaritas,3,Soltero(a),,Urbana,,,Transporte público,Inactivo,2015-07-22 10:00:00,NOCHE,TÉCNICO LABORAL EN ELECTRÓNICA Y ELECTRICIDAD AUTOMOTRIZ,2015-2,SEMESTRE 2,33,0,2015,2,0,1,2015.0,7.0,1.0
Masculino,Supía,Colombia,Envigado,San Rafael,2,Unión libre,EPS Sura,Urbana,Media,Empleado,Transporte público,Graduado,2019-01-28 10:00:00,NOCHE,15T-TÉCNICO LABORAL EN ELECTRICIDAD (Estudiantes Antiguos),2019-2,SEMESTRE 2,35,0,2019,2,0,0,2019.0,1.0,0.0
Masculino,Medellín,Colombia,Medellín,Cristo Rey,3,Soltero(a),EPS Sura,Urbana,Básica secundaria,Empleado,Moto,Graduado,2017-01-19 10:00:00,NOCHE,TÉCNICO LABORAL EN ELECTRÓNICA Y ELECTRICIDAD AUTOMOTRIZ,2017-2,SEMESTRE 2,27,0,2017,2,0,0,2017.0,1.0,0.0
Masculino,Envigado,Colombia,Envigado,La Mina,3,Casado(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Graduado,2018-07-06 10:00:00,NOCHE,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),2019-1,SEMESTRE 2,59,0,2019,1,0,0,2018.0,7.0,0.0
Masculino,Fredonia,Colombia,Itagui,La Aldea,3,,,,,,Transporte público,Activo,2020-09-18 10:00:00,DIURNA,EXTENSIÓN - BIOSEGURIDAD,2020-2,SEMESTRE 1,42,0,2020,2,1,1,2020.0,9.0,0.0
Femenino,Envigado,Colombia,Envigado,Alto De Misael,2,Soltero(a),Savia Salud,Urbana,Básica secundaria,Estudiante básica,A pie,Graduado,2019-02-21 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA MERCADEO Y VENTAS,2019-1,ONCE,20,1,2019,1,0,0,2019.0,2.0,0.0
Masculino,Medellín,Colombia,Envigado,Barrio Mesa,3,Soltero(a),Suramericana,Urbana,Media,Estudiante básica,A pie,Aplazamiento Semestre,2020-12-18 10:00:00,DIURNA,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),2021-1,SEMESTRE 1,19,0,2021,1,0,0,2020.0,12.0,0.0
Masculino,Medellín,Colombia,Envigado,,3,Soltero(a),SISBEN,Urbana,Media,Independiente,Transporte público,Sancionado,2017-12-21 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2018-1,SEMESTRE 1,26,0,2018,1,0,0,2017.0,12.0,1.0
Femenino,Medellín,Colombia,Medellín,Alcalá,3,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,A pie,Inactivo,2019-12-20 10:00:00,DIURNA,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,2020-1,SEMESTRE 1,19,0,2020,1,0,0,2019.0,12.0,1.0
Femenino,Envigado,Colombia,Envigado,La Mina,3,Soltero(a),EPS Sura,Urbana,,Estudiante básica,Taxi,Inactivo,2021-08-30 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2021-2,NOVENO,14,1,2021,2,0,0,2021.0,8.0,0.0
Masculino,Envigado,Colombia,Envigado,El Trianón,3,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,A pie,Graduado,2016-12-12 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2018-1,SEMESTRE 2,23,0,2018,1,0,0,2016.0,12.0,0.0
Masculino,San Carlos,Colombia,Envigado,La Mina,2,Soltero(a),E.P.S. Programa Comfenalco Antioquia,Urbana,Básica secundaria,Estudiante básica,Transporte público,Graduado,2017-11-01 10:00:00,DIURNA,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),2018-2,SEMESTRE 2,22,0,2018,2,0,0,2017.0,11.0,0.0
Femenino,Medellín,Colombia,Envigado,El Dorado,3,Soltero(a),Nueva Promotora de Salud - Nueva EPS,Urbana,Media,Estudiante superior,Transporte público,Graduado,2020-01-07 10:00:00,DIURNA,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2021-1,SEMESTRE 2,19,0,2021,1,0,0,2020.0,1.0,0.0
Masculino,Medellín,Colombia,Envigado,El Dorado,3,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Sancionado,2018-01-29 10:00:00,NOCHE,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),2018-1,SEMESTRE 1,24,0,2018,1,0,0,2018.0,1.0,1.0
Masculino,,Colombia,Medellín,,2,,,,,,Transporte público,Activo,2019-09-27 10:00:00,NOCHE,CURSO EXTENSIÓN EXCEL,2019-2,SEMESTRE 1,51,0,2019,2,1,1,2019.0,9.0,0.0
Femenino,Fredonia,Colombia,Envigado,Barrio Mesa,3,Soltero(a),EPS Sura,Urbana,,Estudiante básica,A pie,Activo,2021-09-07 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2021-2,NOVENO,16,1,2021,2,0,0,2021.0,9.0,0.0
Masculino,Medellín,Colombia,Envigado,San Rafael,2,Unión libre,EPS Sura,Urbana,Básica secundaria,Estudiante básica,A pie,Inactivo,2019-11-21 10:00:00,MEDIA TÉCNICA,PROYECTOS FORMATIVOS MEDIA TECNICA,2018-2,ONCE,19,1,2018,2,0,0,2019.0,11.0,1.0
Masculino,Envigado,Colombia,Envigado,Uribe Ángel,2,,,,,,Transporte público,Graduado,2015-07-13 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2016-1,SEMESTRE 2,39,0,2016,1,1,1,2015.0,7.0,0.0
Masculino,Medellín,Colombia,Envigado,La Sebastiana,3,Casado(a),EPS Sura,Urbana,Media,Estudiante superior,Moto,Graduado,2016-06-16 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2017-2,SEMESTRE 2,32,0,2017,2,0,0,2016.0,6.0,0.0
Masculino,Itagui,Colombia,Envigado,San Marcos,4,Soltero(a),,Urbana,Media,Desempleado,Transporte público,Inactivo,2015-02-03 10:00:00,DIURNA,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),2015-2,SEMESTRE 2,30,0,2015,2,0,1,2015.0,2.0,1.0
Femenino,Medellín,Colombia,Envigado,El Trianón,3,Soltero(a),SISBEN,Urbana,Media,Empleado,Transporte público,Graduado,2020-01-10 10:00:00,NOCHE,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,2021-1,SEMESTRE 2,26,0,2021,1,0,0,2020.0,1.0,0.0
Masculino,Medellín,Colombia,Caldas,,2,Soltero(a),EPS Sura,Urbana - rural,Media,Estudiante superior,Transporte público,Graduado,2017-07-12 10:00:00,NOCHE,TÉCNICO LABORAL EN ELECTRÓNICA Y ELECTRICIDAD AUTOMOTRIZ,2017-2,SEMESTRE 2,25,0,2017,2,0,0,2017.0,7.0,0.0
Masculino,Itagui,Colombia,Envigado,El Dorado,3,Soltero(a),EPS Sura,Urbana,Media,Empleado,Transporte público,Graduado,2015-02-03 10:00:00,NOCHE,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,2015-2,SEMESTRE 2,32,0,2015,2,0,1,2015.0,2.0,0.0
Masculino,Medellín,Colombia,Envigado,Alcalá,3,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Moto,Graduado,2017-01-18 10:00:00,NOCHE,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,2018-1,SEMESTRE 2,24,0,2018,1,0,0,2017.0,1.0,0.0
Masculino,Envigado,Colombia,Envigado,La Mina,2,Soltero(a),EPS Sura,Urbana,,Estudiante básica,Transporte público,Inactivo,2021-09-14 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2021-2,NOVENO,15,1,2021,2,0,0,2021.0,9.0,0.0
Masculino,Bogotá,Colombia,Envigado,El Dorado,3,Soltero(a),Nueva Promotora de Salud - Nueva EPS,Urbana,Media,Estudiante superior,Transporte público,Inactivo,2019-02-20 10:00:00,NOCHE,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2019-1,SEMESTRE 1,19,0,2019,1,0,0,2019.0,2.0,1.0
Femenino,Medellín,Colombia,Envigado,San Rafael,2,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Sancionado,2019-05-07 10:00:00,DIURNA,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2020-1,SEMESTRE 2,20,0,2020,1,0,0,2019.0,5.0,1.0
Femenino,El Bagre,Colombia,Itagui,San Javier,2,Soltero(a),,Urbana,Media,Desempleado,Transporte público,Inactivo,2015-02-03 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2015-1,SEMESTRE 1,30,0,2015,1,0,1,2015.0,2.0,1.0
Masculino,Tierralta,Colombia,Envigado,El Trianón,3,Soltero(a),EPS Sura,Urbana,,Estudiante básica,A pie,Cancelado,2021-04-16 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA MERCADEO Y VENTAS,2021-1,DÉCIMO,16,1,2021,1,0,0,2021.0,4.0,1.0
Masculino,Medellín,Colombia,Envigado,San José,4,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Inactivo,2018-07-12 10:00:00,DIURNA,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,2019-1,SEMESTRE 2,24,0,2019,1,0,0,2018.0,7.0,1.0
Femenino,Amagá,Colombia,Envigado,San José,2,Soltero(a),Salud Total EPS,Urbana,Media,Empleado,Transporte público,Sancionado,2017-01-12 10:00:00,DIURNA,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2017-2,SEMESTRE 1,24,0,2017,2,0,0,2017.0,1.0,1.0
Femenino,Zarzal,Colombia,Envigado,La Magnolia,3,Unión libre,EPS Sura,Urbana,Media,Desempleado,Transporte público,Graduado,2016-08-11 10:00:00,DIURNA,06T-TÉCNICO LABORAL EN ATENCIÓN Y CUIDADO AL ADULTO MAYOR EN EL DOMICILIO,2017-1,SEMESTRE 2,60,0,2017,1,0,1,2016.0,8.0,0.0
Femenino,Envigado,Colombia,Envigado,Barrio Mesa,3,,,,,,Transporte público,Inactivo,2017-06-16 10:00:00,NOCHE,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,2017-2,SEMESTRE 1,24,0,2017,2,1,1,2017.0,6.0,1.0
Femenino,Medellín,Colombia,Envigado,Barrio Mesa,3,Soltero(a),SISBEN,Urbana,Postgrado,Desempleado,A pie,Graduado,2018-11-29 10:00:00,NOCHE,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),2019-2,SEMESTRE 2,47,0,2019,2,0,0,2018.0,11.0,0.0
Masculino,Medellín,Colombia,Envigado,El Trianón,3,Soltero(a),SISBEN,Urbana,Media,Estudiante superior,Transporte público,Sancionado,2020-01-17 10:00:00,NOCHE,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2020-2,SEMESTRE 2,26,0,2020,2,0,0,2020.0,1.0,1.0
Femenino,Cartagena,Colombia,Envigado,El Chinguí,2,Soltero(a),SISBEN,Urbana,Media,Estudiante superior,Transporte público,Sancionado,2019-01-23 10:00:00,DIURNA,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2019-1,SEMESTRE 1,24,0,2019,1,1,0,2019.0,1.0,1.0
Femenino,Medellín,Colombia,Envigado,Jardines,4,Soltero(a),EPS Sura,Urbana,,Estudiante básica,Transporte público,Inactivo,2020-07-25 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,16,1,2020,2,0,0,2020.0,7.0,0.0
Masculino,Medellín,Colombia,Envigado,Vereda - Las Palmas,2,Soltero(a),EPS Sura,Rural,,Estudiante básica,Transporte público,Activo,2021-04-07 10:00:00,MEDIA TÉCNICA,MEDIA TECNICA MARKETING DIGITAL,2021-1,DÉCIMO,17,1,2021,1,0,0,2021.0,4.0,0.0
Femenino,Medellín,Colombia,Envigado,Barrio Mesa,3,Soltero(a),Savia Salud,Urbana,Media,Estudiante superior,Transporte público,Inactivo,2018-07-13 10:00:00,DIURNA,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,2020-1,SEMESTRE 2,24,0,2020,1,0,0,2018.0,7.0,1.0
Femenino,Itagui,Colombia,Envigado,San José,2,Soltero(a),EPS Sura,Urbana,Media,Independiente,Moto,Graduado,2016-12-23 10:00:00,NOCHE,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),2017-2,SEMESTRE 2,30,0,2017,2,0,0,2016.0,12.0,0.0
Masculino,Medellín,Colombia,Envigado,La Sebastiana,2,Soltero(a),Coomeva EPS,Urbana,Media,Empleado,Moto,Activo,2022-01-28 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2022-1,SEMESTRE 1,34,0,2022,1,0,0,2022.0,1.0,0.0
Femenino,Envigado,Colombia,Envigado,Las Orquídeas,3,Soltero(a),Savia Salud,Urbana,Media,Empleado,A pie,Activo,2022-02-14 10:00:00,NOCHE,14T-TÉCNICO LABORAL EN CONTABILIDAD,2022-1,SEMESTRE 1,22,0,2022,1,0,0,2022.0,2.0,0.0
Femenino,Envigado,Colombia,Envigado,Jardines,3,Soltero(a),EPS Sura,Urbana - rural,Media,Independiente,Transporte público,Inactivo,2015-02-03 10:00:00,DIURNA,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2015-1,SEMESTRE 1,25,0,2015,1,0,0,2015.0,2.0,1.0
Femenino,Envigado,Colombia,Envigado,La Sebastiana,2,Soltero(a),Savia Salud,Urbana,Media,Estudiante básica,Transporte público,Activo,2021-07-27 10:00:00,DIURNA,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,2022-1,SEMESTRE 2,18,0,2022,1,0,0,2021.0,7.0,0.0
Femenino,Barrancabermeja,Colombia,Envigado,El Salado,1,Soltero(a),Savia Salud,Urbana,,Estudiante básica,A pie,Inactivo,2020-07-24 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,16,1,2020,2,0,0,2020.0,7.0,0.0
Femenino,Copacabana,Colombia,Envigado,El Dorado,3,,,,,,Transporte público,Activo,2020-10-27 10:00:00,DIURNA,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,2020-2,SEMESTRE 1,36,0,2020,2,1,1,2020.0,10.0,0.0
Femenino,Envigado,Colombia,Envigado,,3,,,,,,Transporte público,Graduado,2018-02-06 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA TECNICO LABORAL AUXILIAR ADMINISTRATIVO CON ENFASIS EN SISTEMAS,2019-1,SEMESTRE 2,22,0,2019,1,1,1,2018.0,2.0,0.0
Femenino,Envigado,Colombia,Envigado,San Rafael,2,Soltero(a),EPS Sura,Urbana,Básica secundaria,Estudiante básica,Transporte público,Inactivo,2021-04-16 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA MERCADEO Y VENTAS,2021-1,DÉCIMO,18,1,2021,1,0,0,2021.0,4.0,0.0
Femenino,,Colombia,Envigado,,3,Soltero(a),SISBEN,Urbana,Media,Independiente,Transporte público,Inactivo,2015-07-22 10:00:00,NOCHE,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2015-2,SEMESTRE 1,38,0,2015,2,0,1,2015.0,7.0,1.0
Masculino,Envigado,Colombia,Envigado,La Mina,2,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Graduado,2016-01-08 10:00:00,NOCHE,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),2016-2,SEMESTRE 2,26,0,2016,2,0,0,2016.0,1.0,0.0
Masculino,,Colombia,Envigado,,3,Soltero(a),,Urbana,,,Transporte público,Inactivo,2014-06-21 10:00:00,DIURNA,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,2015-1,SEMESTRE 2,31,0,2015,1,0,1,2014.0,6.0,1.0
Masculino,Medellín,Colombia,Envigado,El Trianón,3,Soltero(a),Salud Total EPS,Urbana,,Estudiante básica,Transporte público,Cancelado,2021-04-16 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA MERCADEO Y VENTAS,2021-1,DÉCIMO,18,1,2021,1,0,0,2021.0,4.0,1.0
Masculino,Sincelejo,Colombia,Envigado,,2,Soltero(a),EPS Sura,Urbana,,Estudiante básica,A pie,Inactivo,2020-07-24 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,17,1,2020,2,0,0,2020.0,7.0,0.0
Femenino,,Colombia,Envigado,El Dorado,3,,,,,,Transporte público,Inactivo,2019-05-22 10:00:00,NOCHE,CURSO EXTENSIÓN EXCEL,2019-1,SEMESTRE 1,45,0,2019,1,1,1,2019.0,5.0,1.0
Masculino,Itagui,Colombia,Envigado,El Trianón,3,Unión libre,Cafesalud  EPS,Urbana,Media,Independiente,Moto,Sancionado,2019-02-04 10:00:00,NOCHE,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),2019-2,SEMESTRE 1,45,0,2019,2,0,0,2019.0,2.0,1.0
Masculino,Andes,Colombia,Envigado,Las Orquídeas,2,Soltero(a),Colmedica,Urbana,Media,Empleado,Transporte público,Graduado,2019-12-04 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2021-1,SEMESTRE 2,23,0,2021,1,0,0,2019.0,12.0,0.0
Masculino,Envigado,Colombia,Envigado,,3,,,,,,Transporte público,Inactivo,2016-01-21 10:00:00,NOCHE,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,2016-2,SEMESTRE 2,34,0,2016,2,1,1,2016.0,1.0,1.0
Femenino,San Roque,Colombia,Envigado,La Sebastiana,2,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,A pie,Graduado,2016-06-14 10:00:00,DIURNA,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),2017-2,SEMESTRE 2,27,0,2017,2,0,0,2016.0,6.0,0.0
Masculino,Itagui,Colombia,Envigado,La Mina,1,Soltero(a),EPS Sura,Rural,Media,Estudiante superior,A pie,Graduado,2016-06-20 10:00:00,DIURNA,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),2017-1,SEMESTRE 2,23,0,2017,1,0,0,2016.0,6.0,0.0
Femenino,Medellín,Colombia,Medellín,Las Palmas,3,Soltero(a),EPS Sura,Rural,Básica secundaria,Estudiante básica,Transporte público,Graduado,2018-01-30 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA MERCADEO Y VENTAS,2018-1,DÉCIMO,19,1,2018,1,0,0,2018.0,1.0,0.0
Femenino,Medellín,Colombia,Envigado,San Rafael,2,Unión libre,Cafesalud  EPS,Urbana,Básica secundaria,Desempleado,Transporte público,Graduado,2017-05-02 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2018-1,SEMESTRE 2,32,0,2018,1,0,0,2017.0,5.0,0.0
Masculino,Venezuela,Colombia,Envigado,Primavera,3,Soltero(a),SISBEN,Urbana,,Estudiante básica,Automóvil,Cancelado,2020-07-24 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,18,1,2020,2,0,0,2020.0,7.0,1.0
Femenino,Medellín,Colombia,Envigado,Alcalá,3,Unión libre,EPS Sura,Urbana,Media,Desempleado,Moto,Graduado,2020-08-25 10:00:00,NOCHE,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),2021-1,SEMESTRE 2,35,0,2021,1,0,0,2020.0,8.0,0.0
Femenino,Medellín,Colombia,Envigado,El Dorado,3,Soltero(a),EPS Sura,Urbana,Media,Estudiante básica,Transporte público,Activo,2021-07-27 10:00:00,DIURNA,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,2022-1,SEMESTRE 2,25,0,2022,1,0,0,2021.0,7.0,0.0
Masculino,Medellín,Colombia,Envigado,El Trianón,3,Casado(a),EPS Sura,Urbana,Media,Empleado,Moto,Sancionado,2019-02-04 10:00:00,NOCHE,TÉCNICO LABORAL EN ELECTRÓNICA Y ELECTRICIDAD AUTOMOTRIZ,2019-2,SEMESTRE 2,40,0,2019,2,0,0,2019.0,2.0,1.0
Masculino,Envigado,Colombia,Envigado,San José,2,Soltero(a),Salud Total EPS,Urbana,Media,Desempleado,Transporte público,Graduado,2019-12-19 10:00:00,NOCHE,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),2020-2,SEMESTRE 2,19,0,2020,2,0,0,2019.0,12.0,0.0
Femenino,Medellín,Colombia,Envigado,La Mina,2,Separado(a),,Urbana,Básica secundaria,Empleado,Transporte público,Graduado,2017-01-04 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2017-2,SEMESTRE 2,49,0,2017,2,0,0,2017.0,1.0,0.0
Femenino,Villa Del Rosario,Colombia,Envigado,El Trianón,3,,,,,,Transporte público,Activo,2020-10-27 10:00:00,DIURNA,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,2020-2,SEMESTRE 1,37,0,2020,2,1,1,2020.0,10.0,0.0
Femenino,Envigado,Colombia,Envigado,San Rafael,2,Soltero(a),EPS Sura,Urbana,Media,Empleado,A pie,Graduado,2019-01-10 10:00:00,NOCHE,02T-TÉCNICO LABORAL AUXILIAR EN GESTIÓN DOCUMENTAL,2019-2,SEMESTRE 2,27,0,2019,2,0,0,2019.0,1.0,0.0
Masculino,Envigado,Colombia,Envigado,Alcalá,3,Soltero(a),,Urbana,Media,Estudiante superior,A pie,Graduado,2017-07-14 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2018-2,SEMESTRE 2,22,0,2018,2,0,0,2017.0,7.0,0.0
Masculino,Libertador (Merida),Colombia,Envigado,Primavera,3,Soltero(a),SISBEN,Urbana,,Estudiante básica,Transporte público,Inactivo,2021-09-25 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2021-2,NOVENO,16,1,2021,2,0,0,2021.0,9.0,0.0
Masculino,Envigado,Colombia,Envigado,Alto De Misael,2,Soltero(a),,Urbana,Media,Estudiante superior,Transporte público,Graduado,2016-07-01 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2020-1,SEMESTRE 2,33,0,2020,1,0,0,2016.0,7.0,0.0
Femenino,Medellín,Colombia,Envigado,Barrio Mesa,3,Soltero(a),EPS Sura,Urbana,Media,Estudiante básica,A pie,Activo,2022-01-21 10:00:00,DIURNA,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,2022-1,SEMESTRE 1,20,0,2022,1,0,0,2022.0,1.0,0.0
Masculino,Envigado,Colombia,Envigado,Alto De Misael,2,Soltero(a),EPS Sura,Urbana,Básica secundaria,Estudiante básica,A pie,Inactivo,2020-03-10 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA MECÁNICA MOTOS,2021-1,ONCE,17,1,2021,1,0,0,2020.0,3.0,1.0
Masculino,Santafé De Antioquia,Colombia,Envigado,Vereda - Las Palmas,1,Soltero(a),COOSALUD EPS,Rural,,Estudiante básica,Transporte público,Inactivo,2020-07-24 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,16,1,2020,2,0,0,2020.0,7.0,0.0
Femenino,Salgar,Colombia,Envigado,San José,2,Casado(a),EPS Sura,Urbana,Media,Estudiante superior,A pie,Graduado,2019-01-15 10:00:00,NOCHE,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2019-2,SEMESTRE 2,39,0,2019,2,0,0,2019.0,1.0,0.0
Masculino,Medellín,Colombia,Envigado,El Dorado,4,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Graduado,2015-02-03 10:00:00,DIURNA,TÉCNICO LABORAL EN DISEÑO GRAFICO,2015-2,SEMESTRE 2,25,0,2015,2,0,1,2015.0,2.0,0.0
Femenino,Medellín,Colombia,Envigado,Los Naranjos,3,Soltero(a),Salud Total EPS,Urbana,Media,Desempleado,Transporte público,Graduado,2016-05-02 10:00:00,DIURNA,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2017-1,SEMESTRE 2,27,0,2017,1,0,0,2016.0,5.0,0.0
Femenino,Medellín,Colombia,Envigado,El Trianón,3,Soltero(a),SISBEN,Urbana,,Estudiante básica,Transporte público,Inactivo,2020-07-24 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,16,1,2020,2,0,0,2020.0,7.0,0.0
Femenino,Sincelejo,Colombia,Medellín,La Frontera,2,,,,,,Transporte público,Activo,2020-09-18 10:00:00,DIURNA,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,2020-2,SEMESTRE 1,25,0,2020,2,1,1,2020.0,9.0,0.0
Femenino,Envigado,Colombia,Envigado,Uribe Ángel,2,Soltero(a),SISBEN,Urbana,Media,Estudiante superior,Transporte público,Activo,2022-01-21 10:00:00,NOCHE,30T-TÉCNICO LABORAL EN EDUCACIÓN PARA LA PRIMERA INFANCIA,2022-1,SEMESTRE 1,34,0,2022,1,0,0,2022.0,1.0,0.0
