genero,municipio_de_nacimiento,pais,municipio_direccion,barrio_direccion,estrato,estado_civil,eps,zona,nivel_de_formacion,ocupacion,medio_de_transporte,estado,fecha_de_matricula,jornada,programa,periodo,nivel,edad,periodo_era_mt,anio_periodo,semestre_periodo,estrato_imputado,transporte_imputado,anio_matricula,mes_matricula,desercion
Masculino,,Colombia,Envigado,San Rafael,2,Soltero(a),,Urbana,,,Transporte público,Inactivo,2014-06-21 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2014-2,SEMESTRE 1,29,0,2014,2,0,1,2014.0,6.0,1.0
Masculino,Betulia,Colombia,Itagui,La Aldea,1,Soltero(a),,Urbana,Básica secundaria,Estudiante superior,Transporte público,Inactivo,2016-01-12 10:00:00,NOCHE,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),2016-2,SEMESTRE 2,26,0,2016,2,0,1,2016.0,1.0,1.0
Femenino,Santafé De Antioquia,Colombia,Envigado,San Rafael,1,Casado(a),EPS Sura,Urbana,Básica secundaria,Desempleado,Transporte público,Graduado,2016-05-16 10:00:00,DIURNA,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),2017-1,SEMESTRE 2,37,0,2017,1,0,0,2016.0,5.0,0.0
Masculino,,Colombia,Envigado,Andalucía,3,Soltero(a),,Urbana,,,Transporte público,Inactivo,2014-06-21 10:00:00,NOCHE,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,2015-1,SEMESTRE 2,58,0,2015,1,0,1,2014.0,6.0,1.0
Masculino,Medellín,Colombia,Medellín,12 De Octubre,1,Soltero(a),Sanitas EPS,Urbana,,Estudiante básica,Transporte público,Inactivo,2020-07-24 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,17,1,2020,2,0,0,2020.0,7.0,0.0
Masculino,,Colombia,Itagui,,2,Soltero(a),,Urbana,Media,Estudiante superior,Transporte público,Graduado,2015-05-13 10:00:00,NOCHE,TÉCNICO LABORAL EN ELECTRÓNICA Y ELECTRICIDAD AUTOMOTRIZ,2017-2,SEMESTRE 2,28,0,2017,2,0,1,2015.0,5.0,0.0
Masculino,Amagá,Colombia,Envigado,La Sebastiana,2,,,,,,Transporte público,Activo,2020-11-11 10:00:00,DIURNA,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,2020-2,SEMESTRE 1,66,0,2020,2,1,1,2020.0,11.0,0.0
Femenino,Medellín,Colombia,Envigado,Loma Del Barro,4,Soltero(a),EPS Sura,Rural,,,Transporte público,Inactivo,2020-08-07 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,16,1,2020,2,0,1,2020.0,8.0,0.0
Femenino,Medellín,Colombia,Medellín,El Poblado,4,,,,,,Transporte público,Activo,2020-09-24 10:00:00,DIURNA,EXTENSION HERRAMIENTAS TICS,2020-2,SEMESTRE 1,25,0,2020,2,1,1,2020.0,9.0,0.0
Masculino,Medellín,Colombia,Envigado,El Trianón,3,Casado(a),Susalud,Urbana,Media,Empleado,Moto,Graduado,2016-01-08 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2016-2,SEMESTRE 2,43,0,2016,2,0,0,2016.0,1.0,0.0
