genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Femenino,18,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,DIURNA,Sin registro,Salud Total EPS,Envigado,52.5,Media,Perfil 1
Masculino,33,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,NOCHE,Sin registro,Sin registro,Envigado,52.5,Media,Perfil 2
Femenino,26,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,NOCHE,Sin registro,Sin registro,Envigado,52.5,Media,Perfil 1
Masculino,18,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Empleado,Savia Salud,Envigado,52.5,Media,Perfil 2
Masculino,20,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Estudiante básica,Savia Salud,Envigado,52.5,Media,Perfil 1
Masculino,23,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),NOCHE,Desempleado,SISBEN,Envigado,52.5,Media,Perfil 3
Masculino,21,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Bello,52.5,Media,Perfil 1
Masculino,17,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,NOCHE,Estudiante básica,Salud Total EPS,Envigado,52.5,Media,Perfil 2
Masculino,17,30T-TÉCNICO LABORAL EN EDUCACIÓN PARA LA PRIMERA INFANCIA,NOCHE,Independiente,Sin registro,Envigado,52.5,Media,Perfil 2
Femenino,27,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Empleado,Suramericana,Itagui,52.4,Media,Perfil 1
Masculino,17,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante básica,Coomeva EPS,Envigado,52.4,Media,Perfil 1
Masculino,30,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Envigado,52.4,Media,Perfil 2
Masculino,17,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Desempleado,Suramericana,Envigado,52.4,Media,Perfil 1
Masculino,38,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,NOCHE,Empleado,EPS Sura,Envigado,52.4,Media,Perfil 2
Masculino,20,14T-TÉCNICO LABORAL EN CONTABILIDAD,NOCHE,Independiente,EPS Sura,Envigado,52.4,Media,Perfil 3
Masculino,20,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Sabaneta,52.4,Media,Perfil 3
Masculino,20,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Desempleado,Salud Total EPS,Envigado,52.4,Media,Perfil 2
Masculino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,EPS Sura,Itagui,52.4,Media,Perfil 1
Masculino,22,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,52.4,Media,Perfil 1
Masculino,20,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Estudiante básica,Suramericana,Envigado,52.4,Media,Perfil 3
Masculino,14,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,EPS Sura,Envigado,52.4,Media,Perfil 1
Masculino,26,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Independiente,EPS Sura,Envigado,52.3,Media,Perfil 3
Masculino,20,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Itagui,52.3,Media,Perfil 1
Masculino,27,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,NOCHE,Desempleado,SISBEN,Envigado,52.3,Media,Perfil 1
Masculino,23,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Estudiante superior,Salud Total EPS,Envigado,52.3,Media,Perfil 2
Masculino,24,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Independiente,EPS Sura,Envigado,52.3,Media,Perfil 2
Masculino,17,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,NOCHE,Estudiante básica,EPS Sura,Envigado,52.3,Media,Perfil 2
Masculino,19,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,NOCHE,Estudiante básica,EPS Sura,Envigado,52.3,Media,Perfil 2
Masculino,26,EXTENSIÓN EXCEL AVANZADO,DIURNA,Sin registro,Sin registro,Envigado,52.3,Media,Perfil 1
Masculino,17,13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL,NOCHE,Estudiante básica,Suramericana,Envigado,52.3,Media,Perfil 1
Masculino,14,MEDIA TÉCNICA EN PANADERIA Y REPOSTERIA 2025,MEDIA TÉCNICA,Desempleado,EPS Sura,Envigado,52.3,Media,Perfil 1
Masculino,21,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Estudiante superior,EPS Sura,Envigado,52.3,Media,Perfil 1
Masculino,20,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Estudiante superior,Suramericana,Envigado,52.3,Media,Perfil 2
Masculino,18,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,DIURNA,Estudiante superior,EPS Sura,Envigado,52.3,Media,Perfil 1
Masculino,31,EXTENSION HERRAMIENTAS TICS,DIURNA,Sin registro,Sin registro,Envigado,52.3,Media,Perfil 3
Masculino,38,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Independiente,EPS Sura,Envigado,52.3,Media,Perfil 2
Masculino,20,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Estudiante básica,EPS Sura,Envigado,52.3,Media,Perfil 3
Masculino,67,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Independiente,EPS Sura,Envigado,52.2,Media,Perfil 1
Masculino,70,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Independiente,EPS Sura,Envigado,52.2,Media,Perfil 1
Masculino,19,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Estudiante superior,EPS Sura,Envigado,52.2,Media,Perfil 2
Masculino,25,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Independiente,EPS Sura,Envigado,52.2,Media,Perfil 2
Masculino,19,29T-TÉCNICO LABORAL EN PANADERIA Y REPOSTERIA,DIURNA,Desempleado,Empresas Publicas de Medellin departamento Medico,Envigado,52.2,Media,Perfil 1
Masculino,19,29T-TÉCNICO LABORAL EN PANADERIA Y REPOSTERIA,DIURNA,Desempleado,Sanidad Militar,Envigado,52.2,Media,Perfil 2
Masculino,21,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,DIURNA,Estudiante básica,Coomeva EPS,Envigado,52.2,Media,Perfil 3
Masculino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,EPS Sura,Sabaneta,52.2,Media,Perfil 2
Masculino,26,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,NOCHE,Sin registro,Sin registro,Bello,52.2,Media,Perfil 1
Masculino,18,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Desempleado,Comfenalco valle E.P.S.,Envigado,52.2,Media,Perfil 2
Masculino,28,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Medellín,52.1,Media,Perfil 2
Masculino,24,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,NOCHE,Estudiante superior,EPS Sura,Envigado,52.1,Media,Perfil 2
Masculino,21,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Estudiante básica,EPS Sura,Envigado,52.1,Media,Perfil 3
Masculino,17,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante básica,EPS Sura,Envigado,52.1,Media,Perfil 1
Femenino,27,30T-TÉCNICO LABORAL EN EDUCACIÓN PARA LA PRIMERA INFANCIA,NOCHE,Independiente,Suramericana,Envigado,52.1,Media,Perfil 1
Masculino,38,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Desempleado,Salud Total EPS,Envigado,52.1,Media,Perfil 2
Masculino,32,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Medellín,52.1,Media,Perfil 2
Masculino,32,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Medellín,52.1,Media,Perfil 2
Masculino,21,MEDIA TÉCNICA EN PANADERIA Y REPOSTERIA 2025,MEDIA TÉCNICA,Estudiante básica,Nueva Promotora de Salud - Nueva EPS,Envigado,52.1,Media,Perfil 2
Masculino,33,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Empleado,EPS Sura,Envigado,52.0,Media,Perfil 1
Masculino,34,EXTENSIÓN EXCEL AVANZADO,DIURNA,Sin registro,Sin registro,Medellín,52.0,Media,Perfil 3
Masculino,33,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Medellín,52.0,Media,Perfil 1
Masculino,33,EXTENSIÓN WORD AVANZADO VIRTUAL,DIURNA,Sin registro,Sin registro,Medellín,52.0,Media,Perfil 2
Masculino,18,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,52.0,Media,Perfil 2
Masculino,33,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Independiente,EPS Sura,Envigado,52.0,Media,Perfil 2
Masculino,26,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),NOCHE,Independiente,EPS Sura,Envigado,52.0,Media,Perfil 2
Masculino,17,14T-TÉCNICO LABORAL EN CONTABILIDAD,DIURNA,Estudiante superior,EPS Sura,Envigado,52.0,Media,Perfil 2
Masculino,16,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Nueva Promotora de Salud - Nueva EPS,Envigado,52.0,Media,Perfil 3
Masculino,18,29T-TÉCNICO LABORAL EN PANADERIA Y REPOSTERIA,DIURNA,Estudiante básica,EPS Sura,Medellín,52.0,Media,Perfil 3
Masculino,29,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Independiente,EPS Sura,Envigado,52.0,Media,Perfil 3
Masculino,24,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Independiente,EPS Sura,La Ceja,52.0,Media,Perfil 2
Masculino,19,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Estudiante superior,Suramericana,Medellín,52.0,Media,Perfil 1
Masculino,21,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Estudiante básica,Suramericana,Envigado,52.0,Media,Perfil 1
Masculino,54,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Estudiante superior,Savia Salud,Envigado,51.9,Media,Perfil 2
Masculino,18,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Estudiante básica,EPS Sura,Envigado,51.9,Media,Perfil 1
Masculino,19,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Estudiante básica,EPS Sura,Envigado,51.9,Media,Perfil 2
Masculino,18,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Estudiante básica,EPS Sura,Envigado,51.9,Media,Perfil 2
Masculino,16,MEDIA TECNICA MARKETING DIGITAL,MEDIA TÉCNICA,Estudiante básica,Suramericana,Envigado,51.9,Media,Perfil 1
Masculino,20,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,DIURNA,Empleado,SISBEN,Envigado,51.9,Media,Perfil 1
Masculino,41,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Independiente,EPS Sura,Envigado,51.9,Media,Perfil 3
Masculino,17,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Desempleado,Suramericana,Envigado,51.9,Media,Perfil 1
Masculino,19,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante básica,Coomeva EPS,Envigado,51.9,Media,Perfil 1
Femenino,21,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,51.9,Media,Perfil 1
Masculino,50,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Independiente,EPS Sura,Envigado,51.9,Media,Perfil 2
Masculino,17,MEDIA TÉCNICA TÉCNICO EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,MEDIA TÉCNICA,Estudiante básica,Nueva Promotora de Salud - Nueva EPS,Envigado,51.9,Media,Perfil 3
Masculino,16,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Sin registro,Medellín,51.9,Media,Perfil 2
Masculino,51,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),NOCHE,Empleado,Salud Total EPS,Envigado,51.9,Media,Perfil 2
Masculino,19,06-VTécnico Laboral en Asistente Community Manager y Redes Sociales (50% Modalidad Distancia),DIURNA,Estudiante básica,EPS Sura,Envigado,51.9,Media,Perfil 1
Masculino,19,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Estudiante básica,EPS Sura,Envigado,51.9,Media,Perfil 2
Masculino,18,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Estudiante básica,EPS Sura,Envigado,51.9,Media,Perfil 1
Masculino,17,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Estudiante básica,EPS Sura,Envigado,51.9,Media,Perfil 2
Masculino,22,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Empleado,Sanitas EPS,Envigado,51.9,Media,Perfil 2
Femenino,20,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,51.9,Media,Perfil 3
Femenino,20,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,51.9,Media,Perfil 2
Masculino,63,20T-TÉCNICO LABORAL EN JOYERIA,DIURNA,Independiente,Nueva Promotora de Salud - Nueva EPS,Envigado,51.9,Media,Perfil 1
Masculino,17,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Famisanar Ltda.,Envigado,51.9,Media,Perfil 1
Masculino,20,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Estudiante superior,Savia Salud,Envigado,51.9,Media,Perfil 2
Masculino,17,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Estudiante básica,Nueva Promotora de Salud - Nueva EPS,Envigado,51.9,Media,Perfil 1
Masculino,17,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Savia Salud,Envigado,51.9,Media,Perfil 1
Femenino,26,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,NOCHE,Sin registro,Sin registro,Medellín,51.9,Media,Perfil 2
Masculino,17,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Desempleado,EPS Sura,Envigado,51.9,Media,Perfil 3
Masculino,17,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Coomeva EPS,Envigado,51.8,Media,Perfil 2
Masculino,23,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Desempleado,EPS Sura,Envigado,51.8,Media,Perfil 3
Masculino,27,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 2
Masculino,27,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 1
Masculino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Savia Salud,Itagui,51.8,Media,Perfil 3
Masculino,18,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Estudiante superior,EPS Sura,Envigado,51.8,Media,Perfil 1
Masculino,35,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Medellín,51.8,Media,Perfil 2
Masculino,60,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Independiente,EPS Sura,Envigado,51.8,Media,Perfil 2
Masculino,19,37 - TÉCNICO POR COMPETENCIAS ASISTENTE EN ENTRENAMIENTO FÍSICO Y DEPORTIVO,DIURNA,Independiente,EPS Sura,Envigado,51.8,Media,Perfil 1
Masculino,28,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 3
Masculino,28,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 1
Masculino,28,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 2
Masculino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Salud Total EPS,Envigado,51.8,Media,Perfil 2
Masculino,16,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Salud Total EPS,Envigado,51.8,Media,Perfil 1
Masculino,18,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Estudiante básica,Nueva Promotora de Salud - Nueva EPS,Envigado,51.8,Media,Perfil 1
Masculino,19,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Independiente,EPS Sura,Itagui,51.8,Media,Perfil 1
Masculino,16,MEDIA TECNICA MARKETING DIGITAL,MEDIA TÉCNICA,Estudiante superior,EPS Sura,Itagui,51.8,Media,Perfil 2
Masculino,26,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Itagui,51.8,Media,Perfil 1
Masculino,22,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,DIURNA,Estudiante superior,MEDIMAS,Envigado,51.8,Media,Perfil 1
Femenino,18,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 1
Femenino,19,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 2
Masculino,29,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,NOCHE,Desempleado,EPS Sura,Envigado,51.8,Media,Perfil 2
Masculino,37,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,NOCHE,Sin registro,Sin registro,Envigado,51.8,Media,Perfil 1
Masculino,19,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Estudiante superior,Sin registro,Envigado,51.7,Media,Perfil 3
Masculino,17,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Estudiante básica,Susalud,Envigado,51.7,Media,Perfil 1
Masculino,30,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Independiente,EPS Sura,Envigado,51.7,Media,Perfil 1
Masculino,35,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,NOCHE,Sin registro,Sin registro,Medellín,51.7,Media,Perfil 2
Femenino,64,20T-TÉCNICO LABORAL EN JOYERIA,DIURNA,Independiente,Unisalud,Envigado,51.7,Media,Perfil 1
Masculino,18,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,NOCHE,Estudiante básica,EPS Sura,Envigado,51.7,Media,Perfil 3
Masculino,26,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Independiente,SISBEN,Envigado,51.7,Media,Perfil 1
Femenino,22,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,NOCHE,Sin registro,Sin registro,Envigado,51.7,Media,Perfil 1
Masculino,21,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Independiente,EPS Sura,Envigado,51.7,Media,Perfil 1
Masculino,23,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),NOCHE,Empleado,EPS Sura,Itagui,51.7,Media,Perfil 3
Masculino,36,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Sin registro,Sin registro,Medellín,51.7,Media,Perfil 3
Masculino,36,EXTENSION HERRAMIENTAS TICS,DIURNA,Sin registro,Sin registro,Medellín,51.7,Media,Perfil 1
Masculino,24,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,DIURNA,Estudiante superior,EPS Sura,Envigado,51.7,Media,Perfil 1
Masculino,32,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,NOCHE,Independiente,EPS Sura,Envigado,51.6,Media,Perfil 2
Masculino,41,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Empleado,EPS Sura,Envigado,51.6,Media,Perfil 2
Masculino,41,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Empleado,EPS Sura,Envigado,51.6,Media,Perfil 2
Femenino,23,30T-TÉCNICO LABORAL EN EDUCACIÓN PARA LA PRIMERA INFANCIA,NOCHE,Independiente,SISBEN,Envigado,51.6,Media,Perfil 1
Masculino,16,MEDIA TÉCNICA EN PANADERIA Y REPOSTERIA 2025,MEDIA TÉCNICA,Estudiante básica,Salud Total EPS,Medellín,51.6,Media,Perfil 1
Masculino,19,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Estudiante básica,EPS Sura,Envigado,51.6,Media,Perfil 2
Masculino,35,07T-TÉCNICO LABORAL EN ATENCION Y CUIDADO DE PERSONAS MAYORES,NOCHE,Estudiante superior,EPS Sura,Envigado,51.6,Media,Perfil 2
Masculino,29,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Itagui,51.6,Media,Perfil 2
Masculino,18,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Sin registro,EPS Sura,Envigado,51.6,Media,Perfil 2
Masculino,37,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,NOCHE,Independiente,Nueva Promotora de Salud - Nueva EPS,Envigado,51.6,Media,Perfil 2
Masculino,14,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Nueva Promotora de Salud - Nueva EPS,Envigado,51.6,Media,Perfil 1
Masculino,16,MEDIA TECNICA MARKETING DIGITAL,MEDIA TÉCNICA,Independiente,Sanitas EPS,Medellín,51.6,Media,Perfil 1
Masculino,57,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),NOCHE,Independiente,Suramericana,Envigado,51.6,Media,Perfil 3
Masculino,17,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Sin registro,Envigado,51.6,Media,Perfil 3
Masculino,18,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Estudiante básica,Salud Total EPS,Envigado,51.6,Media,Perfil 3
Masculino,18,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Desempleado,EPS Sura,Envigado,51.5,Media,Perfil 3
Masculino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Sanitas EPS,Envigado,51.5,Media,Perfil 3
Masculino,20,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante superior,Compensar EPS,Envigado,51.5,Media,Perfil 2
Masculino,17,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Estudiante básica,Sanitas EPS,Envigado,51.5,Media,Perfil 2
Masculino,22,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Estudiante superior,Sin registro,Envigado,51.5,Media,Perfil 2
Masculino,16,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,DIURNA,Desempleado,EPS Sura,Envigado,51.5,Media,Perfil 2
Masculino,19,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,DIURNA,Estudiante superior,Savia Salud,Envigado,51.5,Media,Perfil 3
Masculino,21,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,NOCHE,Estudiante básica,EPS Sura,Envigado,51.4,Media,Perfil 1
Masculino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Salud Total EPS,Envigado,51.4,Media,Perfil 2
Masculino,15,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,Salud Total EPS,Envigado,51.4,Media,Perfil 2
Masculino,16,MEDIA TECNICA MARKETING DIGITAL,MEDIA TÉCNICA,Estudiante básica,Nueva Promotora de Salud - Nueva EPS,Envigado,51.4,Media,Perfil 1
Masculino,19,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Estudiante superior,Coomeva EPS,Envigado,51.4,Media,Perfil 2
Masculino,20,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Estudiante superior,Coomeva EPS,Envigado,51.4,Media,Perfil 3
Masculino,35,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Empleado,Salud Total EPS,Envigado,51.3,Media,Perfil 1
Masculino,20,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante superior,Sanitas EPS,Envigado,51.3,Media,Perfil 3
Masculino,18,MEDIA TÉCNICA TÉCNICO EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,MEDIA TÉCNICA,Estudiante básica,Sin registro,Envigado,51.3,Media,Perfil 1
Masculino,22,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,DIURNA,Estudiante superior,EPS Sura,Envigado,51.3,Media,Perfil 2
Masculino,29,EXTENSIÓN EXCEL AVANZADO,DIURNA,Sin registro,Sin registro,Envigado,51.3,Media,Perfil 1
Masculino,21,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Estudiante superior,Savia Salud,Envigado,51.3,Media,Perfil 2
