genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Masculino,23,37 - TÉCNICO POR COMPETENCIAS ASISTENTE EN ENTRENAMIENTO FÍSICO Y DEPORTIVO,DIURNA,Empleado,Nueva Promotora de Salud - Nueva EPS,Envigado,60.0,Media,Perfil 2
Masculino,31,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Desempleado,EPS Sura,Envigado,59.9,Media,Perfil 1
Masculino,15,MEDIA TÉCNICA TÉCNICO EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,MEDIA TÉCNICA,Sin registro,Sin registro,Envigado,59.9,Media,Perfil 3
Masculino,33,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Desempleado,SISBEN V2 - Nivel 1,Envigado,59.9,Media,Perfil 1
Masculino,31,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Independiente,Savia Salud,Envigado,59.8,Media,Perfil 3
Masculino,23,20T-TÉCNICO LABORAL EN JOYERIA,DIURNA,Independiente,EPS Sura,Envigado,59.8,Media,Perfil 2
Masculino,23,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Desempleado,SISBEN,Envigado,59.7,Media,Perfil 2
Masculino,31,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Independiente,EPS Sura,Envigado,59.7,Media,Perfil 1
Masculino,37,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Estudiante superior,Sin registro,Envigado,59.6,Media,Perfil 1
Masculino,32,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Independiente,Sin registro,Envigado,59.5,Media,Perfil 1
Masculino,26,20T-TÉCNICO LABORAL EN JOYERIA,DIURNA,Estudiante superior,EPS Sura,Envigado,59.5,Media,Perfil 1
Masculino,32,20T-TÉCNICO LABORAL EN JOYERIA,DIURNA,Estudiante superior,EPS Sura,Envigado,59.5,Media,Perfil 1
Masculino,28,20T-TÉCNICO LABORAL EN JOYERIA,DIURNA,Independiente,Coomeva EPS,Envigado,59.4,Media,Perfil 2
Masculino,33,18T-TÉCNICO LABORAL EN GASTRONOMÍA,NOCHE,Desempleado,SISBEN,Envigado,59.2,Media,Perfil 3
Masculino,18,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Sin registro,EPS Sura,Envigado,59.1,Media,Perfil 3
